text,intent,response,entities
Provide information about profile update. [fea8a7],profile_update,Your profile update has been recorded.,{}
How do I loan payment,loan_payment,Payment received. Reference: TXN34094121.,"{""account_number"": ""7308824035"", ""txn_id"": ""TXN32124402"", ""date"": ""2024-09-15"", ""amount"": ""\u20b9114,527""}"
Provide information about branch locator. [f0ab7a],branch_locator,Information for branch locator: please provide further details.,{}
Provide information about debit card replacement. [0f5719],debit_card_replacement,Information for debit card replacement: please provide further details.,{}
I need help with out of scope. [8bc0b7],out_of_scope,"I am sorry, I cannot assist with that.",{}
I need help with goodbye. [f3e3e1],goodbye,Information for goodbye: please provide further details.,{}
Provide information about debit card replacement2. [13a3e8],debit_card_replacement2,Replacement request submitted.,{}
Provide information about out of scope. [144dcd],out_of_scope,"I am sorry, I cannot assist with that.",{}
Please Provide information about credit debit card activation. [f0bf61] asap.,credit_card_activation,Noted. Information for credit card activation: please provide further details. Let me know if you need anything else.,{}
Provide information about merchant dispute. [4bfc60],merchant_dispute,Merchant dispute registered. We will investigate.,{}
Provide information about greet. [e87e50],greet,Information for greet: please provide further details.,{}
Can you Provide information about recurring deposit info. [aeb8c8] kindly.,recurring_deposit_info,Noted. Recurring deposit details will be shared.,{}
Please Provide information about account freeze request. [7af82a] asap.,account_freeze_request,Noted. Account freeze request processed. Thank you.,{}
Can you Provide information about fx remittance info. [0b5357] today.,fx_remittance_info,Certainly. EMI calculated. Please provide amount and tenure to proceed. Please confirm.,{}
Kindly What is the interest rate for savings account? [29d43c] now.,interest_rate_info,Noted. Information for interest rate info: please provide further details.,{}
Can you tell me what to submit for loan .,loan_required_documents,"Okay. Submit property papers, ID proof, and income tax returns for home loan. Please confirm.",{}
I need help with interest calculator. [00dd3a],interest_calculator,Calculating interest; please provide amount and tenure.,{}
Send me my account statement for last month. [2ea3d5],statement_request,Information for statement request: please provide further details.,{}
Would you 100000 6 months,emi_result,"Please provide loan amount, tenure, and payment type (monthly, yearly, or quarterly). Thank you.",{}
I need help with card status info. [3b3e28],card_status_info,Please provide the card ending digits to proceed.,{}
"Please, Provide information about nominee update. [50fde8] asap.",nominee_update,Information for nominee update: please provide further details. Please confirm.,{}
Provide information about salary credit issue. [174b45],salary_credit_issue,Salary credit issue logged. Please provide employer details.,{}
Can you Provide information about recurring deposit info. [447305] thanks.,recurring_deposit_info,Understood. Recurring deposit details will be shared. Please confirm.,{}
I need help with upi help. [77ec4d],upi_help,Please ensure your UPI ID is linked and active.,{}
Would you Provide information about greet. [a29ba8] asap.,greet,"Okay. Hello, how may I assist you? Please confirm.",{}
I need help with loan statement request. [defaa3],loan_statement_request,Loan statement will be sent to your registered email.,{}
Kindly What will be the installment for Rs. 464186 over 48 months? please.,emi_calculator,Understood. EMI calculated. Please provide amount and tenure to proceed. Let me know if you need anything else.,{}
I need help with loan payment. [50f722],loan_payment,Payment received. Reference: TXN63731149.,{}
Please I want to apply for a personal borrowing. [e18a4f] today.,loan_application,Understood. Please provide the requested details to proceed with your loan request. Please confirm.,{}
I need help with goodbye. [15e648],goodbye,Goodbye. Have a good day.,{}
Provide information about debit card replacement. [c79f1a],debit_card_replacement,Replacement request submitted.,{}
Provide information about transaction dispute. [fab705],transaction_dispute,Information for transaction dispute: please provide further details.,{}
Please I need help with upi help. [96def2] please.,upi_help,"Sure. To transfer Rs. 462,699 to Sita, please confirm the recipient account number.",{}
Can you credit card payment online?,credit_card_payment,Payment received. Reference: TXN81403484.,"{""amount"": ""\u20b9177,607""}"
Can you Provide information about thanks. [4bb31d] please.,thanks,Information for thanks: please provide further details. Let me know if you need anything else.,{}
I need help with international remittance. [147636],international_remittance,International remittance instructions have been sent.,{}
Calculate EMI for principal Rs. 134139 with tenure 6 months at 7.5% p.a.,emi_calculator,EMI calculated. Please provide amount and tenure.,"{""amount"": ""134139"", ""tenure"": 6}"
Kindly Provide information about tax certificate request. [db4d3d] .,tax_certificate_request,Information for tax certificate request: please provide further details.,{}
Could you I need to block my credit debit card. [c31d04] asap.,credit_card_block,Noted. Credit card has been blocked. Let me know if you need anything else.,{}
I need help with cheque status check. [29cefc],cheque_status_check,Information for cheque status check: please provide further details.,{}
Would you Block my credit credit card. [42ecf9] now.,credit_card_block,Credit card has been blocked. Thank you.,{}
make loan payment,loan_payment,Payment received. Reference: TXN97140863.,"{""account_number"": ""9469669323"", ""txn_id"": ""TXN37007158"", ""date"": ""2025-10-12"", ""amount"": ""\u20b97,027""}"
Would you can you look up if i am eligible for borrowing thanks.,loan_eligibility_request,"Understood. To check eligibility, please mention your salary details. Please confirm.",{}
Provide information about branch locator. [cab615],branch_locator,Please provide your city or PIN code.,{}
Could you Provide information about debit credit card replacement. [52929b],debit_card_replacement,Understood. Replacement request submitted. Please confirm.,{}
Provide information about greet. [e52b85],greet,"Hello, how may I assist you?",{}
Please I need help with block bank card. [6a1268] .,block_card,Noted. Information for block card: please provide further details.,{}
Show me ATMs near Pondicherry. [24b9c7] today.,atm_locator,Okay. Nearest ATMs will be shown based on your location. Thank you.,{}
Block my debit card. [0d9b7f],debit_card_block,Information for debit card block: please provide further details.,{}
What will be the EMI for Rs. 348745 over 36 months?,emi_calculator,EMI calculated. Please provide amount and tenure.,"{""amount"": ""348745"", ""tenure"": 36}"
Am I eligible for a loan if my salary is Rs. 248528?,loan_eligibility_check,Understood. Please provide the requested details to proceed with your loan request.,"{""amount"": ""248528""}"
I need help with receipt request. [f8d4ee],receipt_request,Information for receipt request: please provide further details.,{}
How do I credit card activation today.,credit_card_activation,Understood. Credit card activation successful.,{}
Please Can you block my debit debit card?,debit_card_block,Your debit card has been blocked.,{}
Would you I need help with goodbye. [f73db8] .,goodbye,Okay. Information for goodbye: please provide further details. Thank you.,{}
Kindly When will my next quarterly EMI be deducted? today.,emi_type_quarterly,"Understood. Yes, switch to quarterly mode in your loan management settings. Thank you.",{}
Kindly loan eligibility check .,loan_eligibility_question,"Noted. I can help. Please provide age, employment type, monthly income, work experience, and CIBIL score (if available). Thank you.",{}
Provide information about recurring deposit info. [95b7bf],recurring_deposit_info,Recurring deposit details will be shared.,{}
Could you Provide information about branch timings query. [e37752] today.,branch_timings_query,Sure. Information for branch timings query: please provide further details. Thank you.,{}
Provide information about salary credit issue. [b1a18b] asap.,salary_credit_issue,Salary credit issue logged. Please provide employer details. Thank you.,{}
Would you Provide information about language preference. [6633ed] today.,language_preference,Language preference updated. Please confirm.,{}
I need help with loan info. [42537f],loan_info,Loan details will be shared via your registered contact.,{}
"Please, monthly monthly installment details",emi_type_monthly,Sure. You have selected a monthly EMI payment plan. Let me know if you need anything else.,{}
Please credit card payment online,credit_card_payment,Payment received. Reference: TXN04462404.,"{""amount"": ""\u20b991,864""}"
How do I receipt request please.,receipt_request,Understood. Information for receipt request: please provide further details. Let me know if you need anything else.,{}
Block my credit card. [a3da59],credit_card_block,Credit card has been blocked.,{}
I need help with transaction inquiry.,transaction_inquiry,Information for transaction inquiry: please provide further details.,{}
Next step for account now.,account_open_step,"Please share your full name, phone number, and one ID proof to proceed.",{}
I need help with block card. [3431c8] asap.,block_card,Sure. Information for block card: please provide further details. Please confirm.,{}
I need help with nominee update. [7bafde] please.,nominee_update,Understood. Information for nominee update: please provide further details.,{}
Could you Calculate installment for principal Rs. 301004 with tenure 36 months at 6.5% p.a. asap. now.,emi_calculator,Okay. Sure. EMI calculated. Please provide amount and tenure. Let me know if you need anything else.,{}
Provide information about branch locator. [6a0dd9],branch_locator,Please provide your city or PIN code.,{}
Provide information about debit card replacement. [5fa88c],debit_card_replacement,Replacement request submitted.,{}
I need help with digital banking support. [38b74a],digital_banking_support,Information for digital banking support: please provide further details.,{}
Kindly Proceed with account opening thanks.,account_open_step,"Noted. To continue, provide your full name, contact number, and a valid ID proof.",{}
Calculate EMI for principal Rs. 295621 with tenure 12 months at 6.5% p.a.,emi_calculator,EMI calculated. Please provide amount and tenure to proceed.,"{""amount"": ""295621"", ""tenure"": 12}"
Can you I need help with my card now.,card_select_type,Noted. I can help. Is it a Debit Card or a Credit Card?,{}
Where is the closest ATM? [524550] please.,atm_locator,Certainly. Nearest ATMs will be shown based on your location. Thank you.,{}
I need help with upi help. [8bbb7d],upi_help,Please ensure your UPI ID is linked and active.,{}
Check loan eligibility for income Rs. 42892.,loan_eligibility_check,Provide salary details for eligibility assessment.,"{""amount"": ""42892""}"
How do I credit card payment,credit_card_payment,Payment received. Reference: TXN37691081.,"{""amount"": ""\u20b9133,179""}"
I need help with card status info. [3e04db],card_status_info,Please provide the card ending digits to proceed.,{}
I need help with balance alert setup. [5f9ebe],balance_alert_setup,Balance alert set for the specified threshold.,{}
I need to block my credit card. [830d82],credit_card_block,Credit card has been blocked.,{}
Could you 2000000 60 months .,emi_result,"Noted. The EMI for Rs. 2,00,000 for 2 years at 9% is Rs. 9,139/month.",{}
Could you Provide information about cheque status check. [bba463] asap.,cheque_status_check,Certainly. Information for cheque status check: please provide further details. Please confirm.,{}
Provide information about branch locator. [a6297c],branch_locator,Information for branch locator: please provide further details.,{}
I need help with interest calculator. [808354],interest_calculator,Calculating interest; please provide amount and tenure.,{}
Would you Provide information about language preference. [1d59ca] .,language_preference,Understood. Information for language preference: please provide further details.,{}
I want to transfer Rs. 194939 to Muruga.,transfer_money,"To transfer Rs. 194,939 to Muruga, please confirm the recipient account number.","{""amount"": ""194939"", ""name"": ""Muruga""}"
"Please, I need help with fixed deposit renewal. [69577d] .",fixed_deposit_renewal,Okay. FD renewal processed. Let me know if you need anything else.,{}
I need help with nominee update. [4013e0],nominee_update,Information for nominee update: please provide further details.,{}
Provide information about card status info. [b27fbd] today.,card_status_info,Noted. Information for card status info: please provide further details. Thank you.,{}
I need help with pancard update. [ec72df],pancard_update,PAN update request received.,{}
"Please, Continue account application asap.",account_open_step,"Sure. To continue, provide your full name, contact number, and a valid ID proof. Let me know if you need anything else.",{}
Provide information about salary credit issue. [8b176c],salary_credit_issue,Salary credit issue logged. Please provide employer details.,{}
I want to close my account. [c462e9],account_closure,Account closure request received and under review.,{}
Can you Provide information about credit facility passbook statement request. [8d4c12] now.,loan_statement_request,Sure. Understood. Please provide the requested details to proceed with your loan request. Please confirm.,{}
Could you Provide information about credit facility account statement request. [74d1f0] kindly.,loan_statement_request,Okay. Loan statement will be sent to your registered email. Let me know if you need anything else.,{}
Can you I need help with loan info. [b04205] now.,loan_info,Loan details will be shared via your registered contact. Thank you.,{}
Provide information about sweep instructions. [71206a],sweep_instructions,Sweep instructions recorded.,{}
Kindly Provide information about pancard update. [1e77b0] please.,pancard_update,Noted. PAN update request received. Let me know if you need anything else.,{}
Provide information about balance alert setup. [fa7933],balance_alert_setup,Information for balance alert setup: please provide further details.,{}
Kindly credit facility eligibility view now.,loan_eligibility_question,"Certainly. To check eligibility, please share your age, employment type, monthly income, total experience, and (if known) CIBIL score.",{}
Provide information about balance alert setup. [7a703d],balance_alert_setup,Information for balance alert setup: please provide further details.,{}
"Please, I want to apply for a personal borrowing. [36093a] asap.",loan_application,Understood. Please provide the requested details to proceed with your loan request. Please confirm.,{}
Provide information about upi help. [dc1f61],upi_help,"To transfer Rs. 341,395 to Arjun, please confirm the recipient account number.",{}
I need help with credit card limit. [d8a3ea],credit_card_limit,Credit limit update request received.,{}
I need help with pancard update. [dbac0f],pancard_update,PAN update request received.,{}
Please yearly EMI details,emi_type_yearly,Certainly. The yearly EMI amount will depend on the total loan tenure and interest rate. Thank you.,{}
Could you yearly monthly installment payment thanks.,emi_type_yearly,Sure! Your annual EMI option will charge interest once every year. Thank you.,{}
I need help with standing instruction setup. [d0c688],standing_instruction_setup,Information for standing instruction setup: please provide further details.,{}
Please Provide information about language preference. [dd0195],language_preference,Information for language preference: please provide further details.,{}
Please I need help with standing instruction setup. [5d2663] thanks.,standing_instruction_setup,Sure. Standing instruction setup completed.,{}
pay credit card bill,credit_card_payment,Payment received. Reference: TXN35317324.,"{""amount"": ""\u20b9148,251""}"
Can you show my current balance? [657bcf],check_balance,Please provide your account number to view the balance.,{}
Provide information about upi help. [1b463f],upi_help,"To transfer Rs. 359,792 to Meena, please confirm the recipient account number.",{}
Please I need help with branch timings query. [610b67] .,branch_timings_query,Noted. Information for branch timings query: please provide further details.,{}
Could you loan details now.,loan_type_select,"Okay. Please choose a loan type: Personal, Home, Gold, or Business. Thank you.",{}
I need help with greet. [dbbf93],greet,Information for greet: please provide further details.,{}
Please Provide information about debit credit card replacement2. [80962b] today.,debit_card_replacement2,Understood. Information for debit card replacement2: please provide further details. Let me know if you need anything else.,{}
I need help with account freeze request. [17a981],account_freeze_request,Account freeze request processed.,{}
Provide information about greet. [e0313c],greet,"Hello, how may I assist you?",{}
"Please, Continue debit card assistance today.",ask_card_last4,Certainly. Please enter the last 4 digits of your card number to proceed. Thank you.,{}
Please What is the eligibility criteria for a personal borrowing? [2acfd0] now.,loan_eligibility_check,Understood. You must have a stable income and good credit history to qualify for a home loan. Thank you.,{}
I need help with open account. [add751],open_account,Account opening request received. Please submit KYC documents.,{}
"Please, Can you show my current money in account? [ca1594] today.",check_balance,"Noted. The current balance for account 4337385343 is Rs. 186,285. Please confirm.",{}
Would you I want a credit facility asap.,loan_type_select,"Understood. Which loan would you like to explore: Personal, Home, Gold, or Business?",{}
"Please, I want to continue with my credit card service please.",ask_card_last4,"Okay. To continue, share the last 4 digits of your card number.",{}
Provide information about account access issue. [7218b9],account_access_issue,Information for account access issue: please provide further details.,{}
Kindly monthly monthly installment plan .,emi_type_monthly,Okay. You have selected a monthly EMI payment plan. Please confirm.,{}
I need help with interest calculator. [d1a9da],interest_calculator,EMI calculated. Please provide amount and tenure to proceed.,{}
Can you What�s the monthly monthly installment breakdown? thanks.,emi_type_monthly,The EMI will be paid monthly as per the schedule. Thank you.,{}
Provide information about raise complaint. [0f182f],raise_complaint,Your complaint has been logged. Reference: CMP146355.,{}
Would you Provide information about thanks. [f2057f] kindly.,thanks,Sure. You are welcome. Please confirm.,{}
Please I need help with branch timings query. [bfd494] kindly.,branch_timings_query,Sure. Information for branch timings query: please provide further details.,{}
I want to report a fraudulent transaction. [481248],report_fraud,Information for report fraud: please provide further details.,{}
Would you Provide information about transaction inquiry. [d8a763],transaction_inquiry,Understood. Please provide the transaction ID to proceed.,{}
I need help with debit card replacement2. [ec48e4],debit_card_replacement2,Information for debit card replacement2: please provide further details.,{}
I need help with upi help. [8f08dd],upi_help,Please ensure your UPI ID is linked and active.,{}
I need help with language preference. [a9f953],language_preference,Information for language preference: please provide further details.,{}
Kindly What is the ATM withdrawal limit per day? [8eb3d0] kindly.,atm_withdrawal_limit,Certainly. Please follow the instructions provided.,{}
Kindly I need help with language preference. [31a8bd] today.,language_preference,Okay. Language preference updated. Thank you.,{}
Could you How do I account statement request today.,statement_request,Understood. Information for statement request: please provide further details. Let me know if you need anything else.,{}
Can you transfer to account?,transfer_money,Transfer initiated. Reference: TXN14998250.,"{""account_number"": ""6661707158"", ""txn_id"": ""TXN79647408"", ""date"": ""2025-08-06"", ""amount"": ""\u20b949,403""}"
I need help with pancard update. [b2a717],pancard_update,PAN update request received.,{}
Could you How to pay monthly installment quarterly? today.,emi_type_quarterly,Your EMI will be debited every three months as per the quarterly plan. Let me know if you need anything else.,{}
Would you I need help with communication preferences. [b00aab],communication_preferences,Certainly. Information for communication preferences: please provide further details. Please confirm.,{}
"Please, I need help with credit credit card limit. [ee8d2d] kindly.",credit_card_limit,Certainly. Credit limit update request received. Let me know if you need anything else.,{}
"Please, borrowing options please now.",loan_type_select,"Certainly. Please choose a loan type: Personal, Home, Gold, or Business. Thank you.",{}
Provide information about debit credit card replacement. [3eaa87] kindly.,debit_card_replacement,Noted. Information for debit card replacement: please provide further details. Thank you.,{}
I need help with card activation. [ff1d33],card_activation,Information for card activation: please provide further details.,{}
Please Provide information about credit card activation. [e997ec] .,credit_card_activation,Noted. Credit card activation successful.,{}
Provide information about thanks. [26258e],thanks,Information for thanks: please provide further details.,{}
Kindly Assist with debit card issues .,card_select_type,Certainly. Understood. Please confirm: Debit Card or Credit Card?,{}
"Please, Provide information about credit facility info. [79ad43] .",loan_info,Sure. Loan details will be shared via your registered contact. Let me know if you need anything else.,{}
I need help with receipt request. [d83ad3],receipt_request,Information for receipt request: please provide further details.,{}
Provide information about branch timings query. [b24cd3],branch_timings_query,Information for branch timings query: please provide further details.,{}
Provide information about transaction inquiry. [55aa42],transaction_inquiry,Information for transaction inquiry: please provide further details.,{}
Provide information about thanks. [4f0ebb],thanks,Information for thanks: please provide further details.,{}
I need help with balance alert setup. [d72043],balance_alert_setup,Balance alert set for the specified threshold.,{}
Please calculate interest on â_x0082_¹100000 please now.,interest_calculator,Sure. EMI calculated. Please provide amount and tenure to proceed.,{}
Tell me current home loan interest rates. [bd7f46],interest_rate_info,Information for interest rate info: please provide further details.,{}
Could you I need help with communication preferences. [2f900d] thanks.,communication_preferences,Noted. Information for communication preferences: please provide further details. Please confirm.,{}
calculate interest on â_x0082_¹100000 please,interest_calculator,Calculating interest; please provide amount and tenure.,"{""amount"": ""\u20b9996,917"", ""tenure_years"": 4, ""rate_percent"": 10.15}"
I need help with debit card replacement. [954e3d],debit_card_replacement,Replacement request submitted.,{}
I need help with digital banking support. [edb1f7],digital_banking_support,Please update the app or contact support for digital banking assistance.,{}
Provide information about credit card activation. [db3c13],credit_card_activation,Credit card activation successful.,{}
I need help with loan info. [2ca25c],loan_info,Understood. Please provide the requested details to proceed with your loan request.,{}
Would you I want to close my account. [949bcc] kindly.,account_closure,Okay. Information for account closure: please provide further details. Thank you.,{}
Would you Provide information about credit credit card limit. [055217] now.,credit_card_limit,Sure. Credit limit update request received. Thank you.,{}
Send me my account statement for last month. [a11aeb],statement_request,Statement will be delivered to your registered email.,{}
Would you Open new account please.,account_open_start,Certainly. I can help you open an account. Please choose Savings or Current. Please confirm.,{}
Provide information about credit card activation. [5ca9ae],credit_card_activation,Credit card activation successful.,{}
I need help with debit card replacement2. [73bce9],debit_card_replacement2,Replacement request submitted.,{}
Please I want to close my account. [f856c1] now.,account_closure,Okay. Information for account closure: please provide further details. Thank you.,{}
Provide information about branch locator. [0a5fe3],branch_locator,Information for branch locator: please provide further details.,{}
Please Tell me the daily cash withdrawal limit. [1caf09] kindly.,atm_withdrawal_limit,Okay. Please follow the instructions provided. Thank you.,{}
I did not receive OTP; please resend. [93e374] now.,otp_resend,Sure. Information for otp resend: please provide further details. Please confirm.,{}
Can you Carry on with opening the account please.,account_open_step,"Certainly. To continue, provide your full name, contact number, and a valid ID proof.",{}
Could you Help me with debit or credit debit card options asap.,card_select_type,"Noted. Sure, is this regarding a Debit Card or a Credit Card? Let me know if you need anything else.",{}
Could you Block my debit debit card. [676c38] today.,debit_card_block,Information for debit card block: please provide further details.,{}
Please Provide information about salary credit issue. [669131] thanks.,salary_credit_issue,Understood. Salary credit issue logged. Please provide employer details.,{}
I need help with out of scope. [3f30cb],out_of_scope,Information for out of scope: please provide further details.,{}
I need help with language preference. [8d9d80],language_preference,Language preference updated.,{}
"Please, Provide information about branch locator. [55494c] thanks.",branch_locator,Noted. Please provide your city or PIN code. Thank you.,{}
I need help with profile update. [241c3f] .,profile_update,Understood. Information for profile update: please provide further details. Let me know if you need anything else.,{}
Show me ATMs near Pondicherry. [51c921],atm_locator,Nearest ATMs will be shown based on your location.,{}
Provide information about tax certificate request. [1e40f4],tax_certificate_request,Tax certificate request received.,{}
Can you Provide information about cheque status view. [402834] thanks.,cheque_status_check,Certainly. Cheque status will be updated in the app.,{}
Provide information about greet. [c153bf] please.,greet,Noted. Information for greet: please provide further details.,{}
Kindly How do I credit debit card block please.,credit_card_block,Certainly. Credit card has been blocked. Thank you.,{}
Provide information about merchant dispute. [9e27f4],merchant_dispute,Information for merchant dispute: please provide further details.,{}
Provide information about block card. [2dcd63],block_card,Your card has been blocked for safety.,{}
I need help with account freeze request. [0a0c40],account_freeze_request,Account freeze request processed.,{}
Can you credit facility options please .,loan_type_select,"Noted. Please choose a loan type: Personal, Home, Gold, or Business.",{}
I need help with receipt request. [cdc172],receipt_request,Information for receipt request: please provide further details.,{}
Provide information about international remittance. [af1087] please.,international_remittance,Okay. EMI calculated. Please provide amount and tenure to proceed. Please confirm.,{}
Kindly select yearly EMI option today.,emi_type_yearly,"Sure. Yes, you can opt for a yearly EMI mode by contacting the bank. Please confirm.",{}
Would you I need help with debit credit card replacement2. [a61a26],debit_card_replacement2,Sure. Information for debit card replacement2: please provide further details. Let me know if you need anything else.,{}
Please debit card problem today.,card_select_type,"Certainly. Sure, is this regarding a Debit Card or a Credit Card?",{}
Could you Can you show my current money in account? [3ada3e] please.,check_balance,"Noted. The current balance for account 7442652840 is Rs. 89,616. Thank you.",{}
I need help with international remittance. [2d25d0],international_remittance,International remittance instructions have been sent.,{}
What is the eligibility criteria for a personal loan? [a13a10],loan_eligibility_check,Provide salary details for eligibility assessment.,{}
